AMT_INCOME_TOTAL,DAYS_EMPLOYED,NAME_INCOME_TYPE,CNT_CHILDREN,FLAG_OWN_CAR,FLAG_OWN_REALTY,TARGET
238211,-10585,Commercial associate,2,N,Y,1
441075,-11680,Working,0,N,N,1
644865,-3650,Commercial associate,1,N,Y,0
901979,-730,Commercial associate,1,Y,N,1
274605,365243,Pensioner,2,N,Y,1
320972,-5110,Working,0,Y,Y,0
450536,-13505,State servant,2,N,Y,0
331496,-13505,Working,1,N,N,1
283467,-5110,Working,1,Y,N,1
428821,-12775,Working,0,N,Y,0
168803,-13140,Working,2,N,Y,1
217297,-9855,Commercial associate,0,N,N,1
384996,-2555,Working,0,Y,N,1
105744,-1460,Working,0,N,Y,1
338746,-9490,Working,0,Y,N,0
284233,-13140,Working,2,N,Y,1
211475,365243,Pensioner,2,N,Y,1
331312,-11315,Working,0,N,Y,0
732844,-7665,Commercial associate,0,N,Y,0
287954,-7300,Working,0,Y,N,1
824219,-8395,Commercial associate,3,Y,N,0
417712,-12410,Working,2,N,Y,0
250023,-9855,Working,2,N,N,1
205914,365243,Pensioner,0,N,Y,1
196099,-4015,State servant,3,N,Y,1
195071,-1825,Working,1,N,Y,1
464598,-5110,Commercial associate,1,N,Y,0
163613,365243,Pensioner,0,N,N,1
234482,365243,Pensioner,0,Y,N,1
130018,365243,Pensioner,0,Y,N,1
101919,365243,Pensioner,2,Y,N,1
440093,-7300,Working,0,N,Y,0
977949,-12410,Commercial associate,3,N,N,1
428768,-12775,Working,2,N,Y,1
166923,365243,Pensioner,1,N,N,1
121281,-4745,Working,0,N,Y,1
241869,-4380,Commercial associate,2,Y,N,0
251793,365243,Pensioner,0,N,Y,1
211041,-9125,Working,0,Y,Y,1
248694,-4745,Working,0,Y,Y,1
430048,-5840,Working,1,N,N,1
486328,-7665,Working,0,N,N,1
320263,-6935,Commercial associate,1,Y,N,0
328174,-7665,Working,1,Y,N,1
335422,-4745,Working,2,N,N,1
501822,-10950,State servant,0,N,N,0
440134,-8395,State servant,2,Y,Y,0
468266,0,Working,0,N,N,1
263550,-4380,State servant,0,N,N,1
132441,-8030,Working,0,N,N,1
547860,-7300,Commercial associate,2,Y,Y,0
54040,0,Student,0,N,N,1
379652,-13870,Working,1,N,Y,0
323106,-2190,Commercial associate,1,N,N,1
120808,-13505,Working,0,N,Y,1
364764,-12045,State servant,0,N,Y,0
345739,-7300,Working,1,N,Y,0
388816,-3285,Working,1,Y,N,1
380343,-365,Working,0,Y,Y,0
332885,-5840,State servant,2,Y,N,0
85179,0,Student,1,N,N,1
308475,-4015,Working,0,Y,N,0
443173,-2190,Working,0,Y,N,0
161240,-4015,Working,0,Y,N,1
234626,365243,Pensioner,1,N,N,1
340853,-1095,Working,2,N,N,1
133870,-8030,Working,1,N,N,1
486851,-3650,State servant,3,Y,Y,0
389977,-9125,State servant,2,N,Y,0
176311,365243,Pensioner,0,N,Y,1
214055,365243,Pensioner,1,Y,Y,1
213000,-3650,Working,0,N,Y,1
335796,-1460,Working,1,N,N,1
637470,-10585,Commercial associate,1,N,Y,0
193344,-5840,Working,3,N,N,1
228328,-5475,Commercial associate,1,N,Y,0
89080,0,Student,0,N,Y,1
487025,-9125,Working,0,N,N,0
275898,365243,Pensioner,3,N,Y,1
422355,-10585,State servant,1,N,Y,0
598604,-7665,State servant,1,N,N,0
217849,365243,Pensioner,0,N,N,1
208485,365243,Pensioner,0,N,N,1
385960,-9490,Working,3,N,Y,1
109171,-6935,Working,1,N,N,1
492208,-6205,Working,3,N,Y,0
906673,0,Commercial associate,0,N,Y,1
59256,365243,Pensioner,0,Y,N,1
440676,-3650,Working,1,N,Y,0
199003,-2190,Working,2,N,N,1
324870,-6935,State servant,0,Y,Y,0
325391,-13870,Working,0,N,Y,0
150772,365243,Pensioner,0,N,N,1
590284,-8395,State servant,0,N,Y,0
207415,-8030,Commercial associate,2,N,Y,1
365976,-1825,Working,0,N,Y,1
400546,-7665,Working,1,N,Y,1
307636,-4380,State servant,0,N,Y,0
427602,-4745,Working,0,N,N,1
27127,0,Student,0,N,N,1
295497,-3285,Working,0,Y,Y,1
12297,0,Student,0,N,Y,1
242180,-13505,Working,1,N,Y,1
276391,365243,Pensioner,1,N,Y,1
113689,-13870,Working,2,N,Y,1
121644,-1825,Working,0,N,N,1
412318,0,State servant,0,N,Y,1
301554,-12410,Working,0,N,N,0
188791,-10220,Working,2,N,N,1
401338,-5475,Working,2,Y,N,1
52815,0,Student,2,N,N,1
198338,365243,Pensioner,0,N,N,1
136610,365243,Pensioner,0,Y,Y,1
159722,-1460,Working,0,N,Y,1
204692,365243,Pensioner,0,N,N,1
439933,-13870,Working,2,N,N,1
466389,-10220,Working,0,Y,Y,0
75991,365243,Pensioner,0,N,Y,1
256989,-1460,Working,0,N,Y,1
159778,-3285,Working,1,N,N,1
335189,-9125,Commercial associate,1,Y,Y,0
430280,-6935,Working,1,N,N,0
968917,-730,Commercial associate,0,N,Y,1
721658,-12775,Commercial associate,0,Y,Y,0
286633,-5110,Working,0,N,Y,1
284381,-8760,Commercial associate,0,N,Y,1
353091,-6570,Working,3,N,N,1
443125,-13505,State servant,0,Y,Y,0
100516,365243,Pensioner,0,Y,Y,1
299570,-9855,Working,1,N,Y,1
372422,-8030,Working,0,N,Y,1
333540,-12045,Working,0,N,N,0
529231,-6205,Commercial associate,0,N,N,0
377068,-730,Working,1,N,N,1
182409,-5840,Working,2,N,Y,1
200368,365243,Pensioner,1,N,Y,1
113610,365243,Pensioner,0,N,N,1
485377,-12045,State servant,1,N,Y,0
391071,-2190,Working,0,N,N,1
397986,-4745,Working,0,N,N,1
346404,-3285,Working,2,N,N,1
544866,-1095,Commercial associate,0,N,Y,0
626044,-8395,Commercial associate,1,N,N,1
335497,-13870,Working,0,N,N,1
256358,-7665,Commercial associate,1,N,N,1
66322,365243,Pensioner,0,N,Y,1
123199,-8030,Working,0,N,N,1
325121,-10585,State servant,0,Y,Y,0
453602,-4745,State servant,0,N,Y,0
572251,-3650,Commercial associate,0,Y,Y,0
103453,-9855,Working,1,N,Y,1
149170,-730,Working,1,N,Y,1
333612,0,Working,1,N,Y,1
193500,-10220,Working,0,N,Y,1
292816,-730,Working,0,N,Y,1
763370,-8760,Commercial associate,1,N,N,1
623291,-5475,Commercial associate,0,N,Y,0
208117,-5475,Working,0,Y,Y,1
497650,-6570,Working,2,N,Y,0
397016,-14235,Working,0,Y,Y,0
52763,365243,Pensioner,3,Y,N,1
368620,-5110,Working,0,N,Y,1
343381,-4745,Working,0,Y,Y,0
233962,-10950,Working,1,Y,Y,0
98008,365243,Pensioner,1,Y,Y,1
252711,-2920,Working,1,N,N,1
263972,-6570,Commercial associate,1,N,Y,1
134693,-10220,Working,0,Y,N,1
397097,-13140,Commercial associate,1,N,Y,0
444965,-5475,State servant,0,N,Y,0
257581,365243,Pensioner,1,N,Y,1
249522,-9125,Commercial associate,0,N,Y,0
826926,-730,Commercial associate,2,N,Y,1
226020,365243,Pensioner,1,N,Y,1
93395,365243,Pensioner,1,Y,Y,1
559760,-9855,State servant,0,N,Y,0
262642,365243,Pensioner,1,Y,N,1
165901,-14235,Working,1,N,N,1
248986,365243,Pensioner,1,Y,Y,1
214796,365243,Pensioner,2,N,Y,1
390446,-5475,Working,0,Y,Y,0
75525,365243,Pensioner,0,Y,Y,1
405613,-8395,Working,1,N,Y,1
899746,-730,Commercial associate,1,N,Y,0
171196,-6570,Working,0,N,Y,1
211094,-8395,Commercial associate,0,N,N,0
384308,-4015,Working,0,N,Y,1
738314,-11315,Commercial associate,0,N,N,0
322123,-1460,Working,0,N,N,1
437746,0,Working,1,N,Y,1
161169,-5840,Working,2,Y,Y,1
303834,-5110,Working,2,N,N,1
912793,-10585,Commercial associate,2,N,N,1
158106,365243,Pensioner,0,N,N,1
498237,-5840,Working,1,N,N,0
676111,-9490,Commercial associate,1,Y,N,0
273860,-5840,Working,1,N,Y,1
417715,-13870,Working,0,N,N,1
137954,365243,Pensioner,1,N,Y,1
132101,-8395,Working,0,Y,Y,1
26616,0,Student,0,Y,Y,1
387623,-10220,Working,0,Y,Y,0
378495,-12775,Working,0,N,Y,1
127694,365243,Pensioner,0,N,N,1
60692,365243,Pensioner,1,N,Y,1
277597,-8030,Working,0,N,Y,1
402084,-12045,State servant,0,N,Y,0
73616,0,Student,0,Y,Y,1
86055,0,Student,0,N,Y,1
214091,-13505,Working,2,N,N,1
290246,-1095,Working,0,N,N,1
66788,0,Student,1,N,Y,1
314566,-2555,Working,0,N,Y,1
131972,365243,Pensioner,2,N,Y,1
426053,-2555,Working,1,N,N,1
64079,365243,Pensioner,1,N,N,1
63400,0,Student,0,N,Y,1
428060,-6935,State servant,0,Y,Y,0
213936,-8395,Working,0,N,Y,1
670489,-4380,Commercial associate,0,N,N,0
931893,-6205,Commercial associate,1,N,N,0
264957,-6205,Working,0,Y,Y,0
967442,-5110,Commercial associate,2,N,Y,0
846045,-11680,Commercial associate,2,N,N,0
375553,-5475,Working,0,Y,N,0
274135,365243,Pensioner,2,N,N,1
259882,-13870,Working,0,N,Y,1
238839,365243,Pensioner,2,N,Y,1
120453,365243,Pensioner,1,Y,Y,1
420961,-14235,Working,2,Y,N,0
101051,-365,Working,1,N,Y,1
308547,-4380,Working,0,N,N,0
302834,-12410,Working,0,N,N,1
356446,-4015,Working,0,N,N,1
406063,-4015,Working,0,N,Y,1
193079,-2920,Working,1,N,Y,1
318306,-9490,Working,0,Y,Y,0
441678,-12045,Working,2,N,N,1
167766,0,Working,0,N,N,1
171088,-7665,Working,0,N,Y,1
165785,-5110,Working,0,Y,Y,1
457226,-8030,Working,1,N,N,1
649777,-3285,Commercial associate,0,Y,N,0
598377,-13140,State servant,0,N,Y,0
276817,365243,Pensioner,1,N,N,1
265465,-4380,Working,1,Y,N,1
217192,-13870,Working,3,N,Y,1
221688,-4015,Working,1,Y,N,1
279689,-7300,Working,1,Y,N,1
316750,-5840,Working,0,Y,Y,0
317516,-1825,Working,1,Y,Y,1
172650,365243,Pensioner,0,N,N,1
853881,-8030,Commercial associate,1,Y,Y,0
261215,-6205,Working,0,N,N,1
209430,-5110,Working,1,N,N,1
349395,-12775,Commercial associate,1,N,Y,0
916944,-2190,Commercial associate,0,Y,Y,0
995775,-4745,Commercial associate,0,Y,Y,0
235899,-5475,Working,0,N,Y,1
261362,-2555,State servant,1,N,N,1
236950,365243,Pensioner,1,N,Y,1
459281,-1460,Working,1,N,Y,0
288868,-10585,Working,1,N,Y,1
453391,-6205,State servant,0,N,Y,0
268207,-730,Commercial associate,2,N,N,1
404082,-1460,Working,2,N,Y,1
446870,-3650,Working,0,N,N,1
445984,-6205,Commercial associate,0,N,Y,0
259988,365243,Pensioner,0,Y,Y,1
494825,-4745,Working,1,N,Y,1
439298,-12045,Working,0,Y,N,0
96758,0,Student,0,N,N,1
110410,365243,Pensioner,0,Y,N,1
509509,-4015,Commercial associate,0,N,Y,0
479162,-5110,Working,0,N,Y,0
342555,-4015,Working,0,Y,Y,0
291444,-2555,Working,2,Y,Y,1
323805,-8030,Commercial associate,0,N,Y,0
367282,-5110,State servant,0,N,Y,0
122692,-9490,Working,2,N,N,1
431999,-5475,Working,0,N,Y,0
526284,-10220,Commercial associate,0,N,Y,0
310834,-13505,Working,0,N,N,1
727409,-6205,Commercial associate,0,N,Y,0
784668,-12045,Commercial associate,0,N,Y,0
77986,0,Student,2,Y,Y,1
232233,-365,Working,1,N,Y,1
346686,-8395,Working,2,N,N,1
913611,-10950,Commercial associate,0,N,Y,0
450918,-365,Working,1,N,Y,1
46250,0,Student,2,N,N,1
139904,365243,Pensioner,0,Y,Y,1
477036,-3285,State servant,1,Y,N,0
644718,-13140,Commercial associate,1,Y,Y,0
187592,-5475,Working,0,N,N,1
151033,-2920,Working,1,N,N,1
753280,-12775,Commercial associate,0,Y,N,0
403630,-4015,Working,1,Y,Y,0
242157,-13140,Working,1,N,N,1
236645,-12775,Working,3,N,N,1
118312,365243,Pensioner,1,N,N,1
109615,-1460,Working,1,N,Y,1
339327,-5840,State servant,1,N,Y,0
368782,-12045,Working,0,N,N,0
472778,-11680,Working,0,N,Y,0
169590,-11315,Working,2,N,Y,1
